label,title,content
0,Anyone who likes this better than the Pekinpah is a moron.,"All the pretty people in this film. Even the Rudy character played by Michael Madsen. This is adapted from a Jim Thompson novel for cryin' out loud! These are supposed to be marginal characters, not fashion models. Though McQueen and McGraw were attractive (but check out McQueen's crummy prison haircut) they were believable in the role. Baldwin and Bassinger seem like movie stars trying to act like hard cases. Action wise, the robbery scene in the Pekinpah version was about 100 times more exciting and suspenseful than anything in this re-make."
0,Author seems mentally unstable,"I know that Tom Robbins has a loyal following and I started the book with high expectations. However, I did not enjoy this book as it was too much work to follow his confused logic. I think that he was under the influence during most of time that he wrote."
1,Spaetzle Noodles,This type of spaetzle maker is easier to manuveur than the old press kind and much easier on the hands. The difference is that this new spaetzle maker makes smaller noodles than the old. It is great for us elderly that don't have much strength left.
1,Cool product until the cats lost it . . . .,"My cats seemed to be amused to work for their food. One cat would roll the ball with her paws and nose, and the other would walk behind her and eat up whatever fell out -- teamwork! I knew they'd dig this ball because I had already made something similar out of a plastic water bottle before that they liked a lot.A few weeks after getting this, though, the ball was never to be found again. I think it may have rolled down into the dark basement at some point and became one with the clutter.+1 for the adjustable hole sizes. -1 for the mess that happens when trying to put the food in by hand (although this could be solved with a funnel)."
1,Works as expected,"I've had no problems running this with my Dell 8200 PC running Windows XP Home Edition which is running an addon USB 2 card, to which this hub (I have the 8 port version) is connected. When I bought it a year ago, I thought that 8 ports would be overkill and that 4 would be adequate, but I bought this unit anyway. Boy was I glad, right now 6 of the 8 are in use."
1,Not a bad deal...,"If you're considering purchasing this movie, I have to figure you're either a huge fan of Sarah Michelle Gellar, or you've seen the movie in the past and really liked it. Either that, or you're like me and you bought it as a gift for someone else, lol (although I did see this in the theater years ago and liked it). So there's not much use in reviewing the movie itself.As for the DVD release...you're not going to get anything in the way of extras (correct me if I'm wrong, but I think there's only a trailer)...but you do get the movie in both widescreen as well as pan and scan. It's of good quality, and it came at a good price (at least it did when I purchased it, lol)."
1,Nice extras on the 300 DVD,"Good picture on blu-ray, but I don't know if it would be much different on DVD since the lighting in the movie is pretty dark."
0,Too Mellow for Me,"I've always been a John Mellencamp fan (all the way back to Jack and Diane). It's been a while since I've bought one of his albums, but I bought this one on a whim. I should have read some reviews first. I'm very disappointed. Cuttin' Heads and Peaceful World are ok songs, but there isn't a standout in the bunch. Too many of them are too mellow. Pass on this album if you like the older stuff."
1,just what I needed,I need t's like this to get through my days at the barn with the horses! They're great and thanks for the quick shipping.
1,nasty,"In 1880s Australia, a lawman makes a deal with a bandit to bring his murderous brother to justice. Simple story about the brutality of frontier life has direction, cinematography and characters reminiscent of the best 60s spaghetti westerns such as ""Once Upon a Time in the West"" (1969). Viewers may also enjoy the similar-styled ""The Three Burials of Melquiades Estrada"" (2005) and ""No Country for Old Men"" (2007)."
